dyad,background,months,task,gesture,count_raw,count,ct_raw,ct,pro_rata,id
b15,Bengali,12,tp2,reach,0,0,0,0,no,135
b15,Bengali,12,tp2,point,0,0,0,0,no,134
b15,Bengali,12,tp2,ho_gv,5,5,0,0,no,133
b16,Bengali,10,five,reach,4,4,0,0,no,138
b16,Bengali,10,five,point,15,15,0,0,no,137
b16,Bengali,10,five,ho_gv,0,0,0,0,no,136
b16,Bengali,10,tp1,reach,0,0,0,0,no,141
b16,Bengali,10,tp1,point,0,0,0,0,no,140
b16,Bengali,10,tp1,ho_gv,1,1,0,0,no,139
b16,Bengali,10,tp2,reach,0,0,0,0,no,144
b16,Bengali,10,tp2,point,0,0,0,0,no,143
b16,Bengali,10,tp2,ho_gv,2,2,0,0,no,142
b16,Bengali,11,five,reach,16,16,1,1,no,138
b16,Bengali,11,five,point,5,5,0,0,no,137
b16,Bengali,11,five,ho_gv,0,0,0,0,no,136
b16,Bengali,11,tp1,reach,0,0,0,0,no,141
b16,Bengali,11,tp1,point,0,0,0,0,no,140
b16,Bengali,11,tp1,ho_gv,4,4,0,0,no,139
b16,Bengali,11,tp2,reach,0,0,0,0,no,144
b16,Bengali,11,tp2,point,0,0,0,0,no,143
b16,Bengali,11,tp2,ho_gv,1,1,0,0,no,142
b16,Bengali,12,five,reach,1,1,0,0,no,138
b16,Bengali,12,five,point,9,9,0,0,no,137
b16,Bengali,12,five,ho_gv,0,0,0,0,no,136
b16,Bengali,12,tp1,reach,0,0,0,0,no,141
b16,Bengali,12,tp1,point,0,0,0,0,no,140
b16,Bengali,12,tp1,ho_gv,3,3,0,0,no,139
b16,Bengali,12,tp2,reach,0,0,0,0,no,144
b16,Bengali,12,tp2,point,0,0,0,0,no,143
b16,Bengali,12,tp2,ho_gv,2,2,0,0,no,142
b17,Bengali,10,five,reach,0,0,0,0,no,147
b17,Bengali,10,five,point,0,0,0,0,no,146
b17,Bengali,10,five,ho_gv,0,0,0,0,no,145
b17,Bengali,10,tp1,reach,0,0,0,0,no,150
b17,Bengali,10,tp1,point,0,0,0,0,no,149
b17,Bengali,10,tp1,ho_gv,1,1,0,0,no,148
b17,Bengali,10,tp2,reach,0,0,0,0,no,153
b17,Bengali,10,tp2,point,0,0,0,0,no,152
b17,Bengali,10,tp2,ho_gv,1,1,0,0,no,151
b17,Bengali,11,five,reach,NA,NA,0,0,no,147
b17,Bengali,11,five,point,NA,NA,0,0,no,146
b17,Bengali,11,five,ho_gv,NA,NA,0,0,no,145
b17,Bengali,11,tp1,reach,0,0,0,0,no,150
b17,Bengali,11,tp1,point,0,0,0,0,no,149
b17,Bengali,11,tp1,ho_gv,0,0,0,0,no,148
b17,Bengali,11,tp2,reach,NA,NA,0,0,no,153
b17,Bengali,11,tp2,point,NA,NA,0,0,no,152
b17,Bengali,11,tp2,ho_gv,NA,NA,0,0,no,151
b17,Bengali,12,five,reach,3,3,0,0,no,147
b17,Bengali,12,five,point,0,0,0,0,no,146
b17,Bengali,12,five,ho_gv,0,0,0,0,no,145
b17,Bengali,12,tp1,reach,0,0,0,0,no,150
b17,Bengali,12,tp1,point,0,0,0,0,no,149
b17,Bengali,12,tp1,ho_gv,0,0,0,0,no,148
b17,Bengali,12,tp2,reach,0,0,0,0,no,153
b17,Bengali,12,tp2,point,0,0,0,0,no,152
b17,Bengali,12,tp2,ho_gv,0,0,0,0,no,151
b18,Bengali,10,five,reach,2,2,0,0,no,156
b18,Bengali,10,five,point,1,1,0,0,no,155
b18,Bengali,10,five,ho_gv,0,0,0,0,no,154
b18,Bengali,10,tp1,reach,0,0,0,0,no,159
b18,Bengali,10,tp1,point,0,0,0,0,no,158
b18,Bengali,10,tp1,ho_gv,3,3,0,0,no,157
b18,Bengali,10,tp2,reach,0,0,0,0,no,162
