ppt_id,rt,logRT,idx,idx_c
n4oy2hxzz7w3qn4,6998,8.853379672927634,5,-6
n4oy2hxzz7w3qn4,3408,8.133880887949207,6,-5
n4oy2hxzz7w3qn4,4947,8.506536611227709,7,-4
n4oy2hxzz7w3qn4,1317,7.183111701743281,8,-3
n4oy2hxzz7w3qn4,1447,7.277247726631484,9,-2
n4oy2hxzz7w3qn4,2211,7.701200180857446,10,-1
n4oy2hxzz7w3qn4,1050,6.956545443151569,11,0
n4oy2hxzz7w3qn4,1260,7.138866999945524,12,1
n4oy2hxzz7w3qn4,1436,7.269616749608169,13,2
n4oy2hxzz7w3qn4,1020,6.927557906278317,14,3
n4oy2hxzz7w3qn4,1170,7.064759027791802,15,4
n4oy2hxzz7w3qn4,1046,6.952728644624869,16,5
n4oy2hxzz7w3qn4,804,6.6895992691789665,17,6
n4oy2hxzz7w3qn4,841,6.734591659972948,18,7
n4oy2hxzz7w3qn4,2053,7.627057417018934,19,8
n4oy2hxzz7w3qn4,2747,7.918264686095274,20,9
n4oy2hxzz7w3qn4,976,6.883462586413092,21,10
tfq65zujk9ej88t,2369,7.7702232041587855,1,-10
tfq65zujk9ej88t,1823,7.508238774678663,2,-9
tfq65zujk9ej88t,4941,8.50532301884575,3,-8
tfq65zujk9ej88t,7287,8.893847217670283,4,-7
tfq65zujk9ej88t,11547,9.354180941951856,5,-6
tfq65zujk9ej88t,3319,8.107418811719974,6,-5
tfq65zujk9ej88t,5811,8.667507952075105,7,-4
tfq65zujk9ej88t,1197,7.087573705557973,8,-3
tfq65zujk9ej88t,2517,7.830822995135316,9,-2
tfq65zujk9ej88t,1503,7.315218389752975,10,-1
tfq65zujk9ej88t,3519,8.165932137321585,11,0
tfq65zujk9ej88t,4077,8.313116702819253,12,1
tfq65zujk9ej88t,974,6.881411303642535,13,2
tfq65zujk9ej88t,5791,8.66406026722579,14,3
tfq65zujk9ej88t,687,6.532334292222349,15,4
tfq65zujk9ej88t,3827,8.249836485425702,16,5
tfq65zujk9ej88t,3900,8.268731832117737,17,6
tfq65zujk9ej88t,3987,8.290794347381356,18,7
tfq65zujk9ej88t,1823,7.508238774678663,19,8
tfq65zujk9ej88t,4525,8.417372856134026,20,9
tfq65zujk9ej88t,5327,8.580543506917,21,10
fgqvegp4hdy4jpo,1677,7.424761761823209,1,-10
fgqvegp4hdy4jpo,1149,7.046647277848756,2,-9
fgqvegp4hdy4jpo,1950,7.575584651557793,3,-8
fgqvegp4hdy4jpo,1536,7.336936913707618,4,-7
fgqvegp4hdy4jpo,1507,7.317876198626496,5,-6
fgqvegp4hdy4jpo,1482,7.301147805856032,6,-5
fgqvegp4hdy4jpo,1021,6.928537818164665,7,-4
fgqvegp4hdy4jpo,3071,8.029758520440822,8,-3
fgqvegp4hdy4jpo,1324,7.188412736496954,9,-2
fgqvegp4hdy4jpo,1944,7.572502985020384,10,-1
fgqvegp4hdy4jpo,6299,8.74814616962193,11,0
